"","lon","lat"
"1",-115.1175013,36.1988592
"2",-118.3089661,34.1808392
"3",-74.0059413,40.7127837
"4",-91.9623327,30.9842977
"5",-73.7562317,42.6525793
"6",-76.6121893,39.2903848
"7",-102.4107493,34.2331373
"8",-118.2436849,34.0522342
"9",-118.2436849,34.0522342
"10",-88.0118473,41.7435073
"11",-74.0059413,40.7127837
"12",-74.0059413,40.7127837
"13",-118.0840212,33.728714
"14",-95.3698028,29.7604267
"15",-102.552784,23.634501
"16",-66.590149,18.220833
"17",-73.9867329,40.7567217
"18",-74.4056612,40.0583238
"19",-106.6055534,35.0853336
"20",-80.8431267,35.2270869
"21",-106.346771,56.130366
"22",-86.1349019,40.2671941
"23",-117.1610838,32.715738
"24",-95.712891,37.09024
"25",-86.1349019,40.2671941
"26",NA,NA
"27",-117.8673659,33.8529366
"28",-78.9453056,34.9704419
"29",-75.3076883,39.957902
"30",-86.158068,39.768403
"31",-81.5157535,27.6648274
"32",-79.3831843,43.653226
"33",-78.6381787,35.7795897
"34",-95.712891,37.09024
"35",-66.9036063,10.4805937
"36",NA,NA
"37",-77.1945247,41.2033216
"38",NA,NA
"39",-119.4179324,36.778261
"40",-122.4194155,37.7749295
"41",-95.712891,37.09024
"42",-51.92528,-14.235004
"43",-86.7816016,36.1626638
"44",-97.7430608,30.267153
"45",-95.712891,37.09024
"46",NA,NA
"47",121.0244452,14.554729
"48",-82.4571776,27.950575
"49",-77.1067698,38.8799697
"50",-63.616672,-38.416097
"51",-117.1610838,32.715738
"52",6.289287,43.913685
"53",NA,NA
"54",-104.990251,39.7392358
"55",-75.1652215,39.9525839
"56",-106.4850217,31.7618778
"57",-118.2436849,34.0522342
"58",31.3554204,29.8396353
"59",-77.4360481,37.5407246
"60",-118.2436849,34.0522342
"61",-118.2436849,34.0522342
"62",106.9755726,-6.2382699
"63",-81.3792365,28.5383355
"64",-0.1277583,51.5073509
"65",-81.1637245,33.836081
"66",-118.2436849,34.0522342
"67",-87.6297982,41.8781136
"68",-76.2858726,36.8507689
"69",NA,NA
"70",-89.3985283,32.3546679
"71",NA,NA
"72",-76.4859544,44.2311717
"73",-84.9702228,34.7698021
"74",-66.9213628,10.587508
"75",-105.2705456,40.0149856
"76",-82.5306527,27.3364347
"77",-102.552784,23.634501
"78",-102.552784,23.634501
"79",NA,NA
"80",-96.7969879,32.7766642
"81",-4.786493,37.894722
"82",2.3522219,48.856614
"83",-2.2426305,53.4807593
"84",-99.1712821,19.4121597
"85",-113.8112386,52.2681118
"86",-102.552784,23.634501
"87",-71.566139,42.391736
"88",-76.3055144,40.0378755
"89",-122.4194155,37.7749295
"90",-106.4850217,31.7618778
"91",106.822745,-6.1744651
"92",-80.085059,42.1292241
"93",-122.2913078,37.8271784
"94",NA,NA
