"","lon","lat"
"1",52.3613378,33.2771073
"2",-76.284659,39.9900049
"3",-79.532157,43.8169837
"4",-118.2436849,34.0522342
"5",-82.7192671,28.2441768
"6",-87.6297982,41.8781136
"7",-74.0059413,40.7127837
"8",-74.0059413,40.7127837
"9",-95.712891,37.09024
"10",NA,NA
"11",-81.6943605,41.49932
"12",-80.7471651,43.1314966
"13",-73.879796,40.6817088
"14",-71.1828321,42.3709299
"15",-95.3698028,29.7604267
"16",-83.6874562,43.0125274
"17",NA,NA
"18",-80.1917902,25.7616798
"19",-122.9006951,47.0378741
"20",-84.3640829,33.7589188
"21",-74.0059413,40.7127837
"22",-122.4387125,37.8006178
"23",-80.1917902,25.7616798
"24",-93.2650108,44.977753
"25",-81.3124341,29.9012437
"26",-73.087749,41.6032207
"27",-122.6764816,45.5230622
"28",-121.8374777,39.7284944
"29",-95.712891,37.09024
"30",-75.795284,42.2009274
"31",-74.0059413,40.7127837
"32",-71.0588801,42.3600825
"33",NA,NA
"34",-75.6971931,45.4215296
"35",-88.7878678,43.7844397
"36",-95.712891,37.09024
"37",-75.1652215,39.9525839
"38",-95.712891,37.09024
"39",-95.712891,37.09024
"40",-83.6874562,43.0125274
"41",-69.4454689,45.253783
"42",-95.712891,37.09024
"43",NA,NA
"44",-102.5865558,22.7641984
"45",-76.6412712,39.0457549
"46",10.0171485,45.5306402
"47",-95.712891,37.09024
"48",-3.435973,55.378051
"49",-1.1743197,52.3555177
"50",-118.2436849,34.0522342
"51",-120.7401386,47.7510741
"52",-74.0059413,40.7127837
"53",-86.2483921,43.2341813
"54",NA,NA
"55",-73.5251253,40.7684331
"56",-70.5710493,-33.3805735
"57",-114.5285981,35.1359386
"58",-74.07701,40.9262762
"59",-75.1652215,39.9525839
"60",-97.7430608,30.267153
"61",NA,NA
"62",-84.5037164,38.0405837
"63",-117.9289469,33.6189101
"64",-98.4936282,29.4241219
"65",-81.9498042,28.0394654
"66",-79.3831843,43.653226
"67",-71.0588801,42.3600825
"68",-93.2173758,30.2265949
"69",-81.0931234,26.8331174
"70",-77.0368707,38.9071923
"71",-74.0059413,40.7127837
"72",-71.5723953,43.1938516
"73",-72.8230736,41.4570108
"74",-74.0059413,40.7127837
"75",-82.9000751,32.1656221
"76",-81.5439619,28.5691677
"77",5.637517,45.298156
"78",-72.9492703,41.6717648
"79",-78.6568942,37.4315734
"80",NA,NA
"81",-93.0899578,44.9537029
"82",-117.1610838,32.715738
"83",-73.087749,41.6032207
"84",-97.0403352,32.8998091
"85",-95.4612625,30.1658207
"86",-118.2436849,34.0522342
"87",NA,NA
"88",-104.9719243,39.8680412
"89",-87.6297982,41.8781136
"90",-118.2436849,34.0522342
"91",-122.4194155,37.7749295
"92",-122.2711137,37.8043637
"93",-104.0489835,52.8473958
"94",-80.1300455,25.790654
"95",-73.134961,40.789142
"96",-73.7948516,40.7282239
"97",-77.1872036,38.7892801
"98",-95.712891,37.09024
"99",-119.2986217,36.3308229
"100",-78.6568942,37.4315734
"101",-80.1917902,25.7616798
"102",-84.3879824,33.7489954
"103",-117.1610838,32.715738
"104",-95.712891,37.09024
"105",-74.0059413,40.7127837
"106",-78.8783689,42.8864468
"107",NA,NA
"108",-71.3161718,42.6334247
"109",-2.6103157,53.2326344
"110",-84.3879824,33.7489954
"111",75.3433139,19.8761653
"112",-71.3824374,42.4072107
"113",-99.9018131,31.9685988
"114",-1.1743197,52.3555177
"115",NA,NA
"116",-104.6188944,50.4452112
"117",-73.9612887,41.9209018
"118",-81.6943605,41.49932
"119",-84.7996573,33.3806716
"120",-63.5752387,44.6487635
"121",-81.3792365,28.5383355
"122",-98.4936282,29.4241219
"123",NA,NA
"124",NA,NA
"125",-95.712891,37.09024
"126",-0.300689,51.41233
"127",-91.2351393,43.8844092
"128",-73.8648268,40.8447819
"129",-80.1917902,25.7616798
"130",-96.1342241,19.173773
"131",150.6336091,-33.5356513
"132",-71.0588801,42.3600825
"133",101.686855,3.139003
"134",-71.0588801,42.3600825
"135",-80.1917902,25.7616798
"136",-95.3698028,29.7604267
"137",-122.4194155,37.7749295
"138",-117.8531119,33.7877944
"139",-122.009265,37.410829
"140",-95.992775,36.1539816
"141",-118.2436849,34.0522342
"142",-77.0772403,38.8456051
"143",-79.9310512,32.7764749
"144",-95.712891,37.09024
"145",-87.6297982,41.8781136
"146",-122.6764816,45.5230622
"147",-118.1937395,33.7700504
"148",-72.7420151,41.7620842
"149",-74.0059413,40.7127837
"150",-117.409215,34.5827699
"151",-118.2436849,34.0522342
"152",-71.0588801,42.3600825
"153",-118.3089624,33.8883487
"154",NA,NA
"155",-84.3879824,33.7489954
"156",-78.6568942,37.4315734
"157",-81.5157535,27.6648274
"158",-86.1349019,40.2671941
"159",-99.9018131,31.9685988
"160",NA,NA
"161",-113.625642,53.6304753
"162",-72.589811,42.1014831
"163",-77.0368707,38.9071923
"164",-75.1020593,39.9044354
"165",-60.0217314,-3.1190275
"166",-118.2436849,34.0522342
"167",NA,NA
"168",-95.4612625,30.1658207
"169",-74.0059413,40.7127837
"170",-70.5509356,43.7355927
"171",-73.3035651,41.4141172
"172",-71.2478251,42.0653812
"173",-71.0588801,42.3600825
"174",NA,NA
"175",-73.087749,41.6032207
"176",NA,NA
"177",-87.7017175,41.7205889
"178",-58.443832,-23.442503
"179",-75.5243682,39.158168
"180",-82.9987942,39.9611755
"181",-90.0022958,34.9918587
"182",-74.0059413,40.7127837
"183",-118.2436849,34.0522342
"184",-71.0588801,42.3600825
"185",-74.2431962,39.5592848
"186",-94.5785667,39.0997265
"187",-84.5424299,33.5870558
"188",-79.532157,43.8169837
"189",-82.9000751,32.1656221
"190",-95.712891,37.09024
"191",-71.1002881,42.3428653
"192",-86.1336033,40.486427
"193",-71.0475773,42.3381437
"194",-118.3286614,34.0928092
"195",-111.0937311,34.0489281
"196",-84.4549262,33.4487257
"197",-1.2778772,53.323639
"198",-74.4056612,40.0583238
"199",-86.0427626,39.7803581
"200",-69.4454689,45.253783
"201",-77.2652604,38.9012225
"202",-99.9018131,41.4925374
"203",-80.0728201,26.4614625
"204",-72.5778415,44.5588028
"205",-71.0602131,42.3782065
"206",-73.9697795,40.7593941
"207",-111.0937311,39.3209801
"208",-84.3879824,33.7489954
"209",-97.092877,35.0077519
"210",-87.685136,42.050803
"211",-90.0715323,29.9510658
"212",-103.2310149,44.0805434
"213",-86.6199957,36.3047735
"214",-4.251806,55.864237
"215",-149.4936733,64.2008413
"216",-82.9554746,42.4683698
"217",-76.727745,39.9625984
"218",-74.0059413,40.7127837
"219",-106.1534672,35.4054975
"220",-71.5723953,43.1938516
"221",-74.0059413,40.7127837
"222",-118.2436849,34.0522342
"223",-120.7401386,47.7510741
"224",-77.0368707,38.9071923
"225",-93.097702,41.8780025
"226",-84.3879824,33.7489954
"227",-118.2436849,34.0522342
"228",NA,NA
"229",-77.4291298,39.0066993
"230",-104.8213634,38.8338816
"231",NA,NA
"232",-83.7430378,42.2808256
"233",-79.8711024,43.2557206
"234",-84.1051939,33.7123305
"235",-73.5387341,41.0534302
"236",19.145136,51.919438
"237",-3.435973,55.378051
"238",-1.1743197,52.3555177
"239",-123.4307413,48.118146
"240",-93.2009998,44.9374831
"241",-111.9400054,33.4255104
"242",-71.0735476,41.5700183
"243",-95.712891,37.09024
"244",-74.4056612,40.0583238
"245",-91.1403196,30.4582829
"246",-74.0059413,40.7127837
"247",-122.2011075,40.1998777
"248",-76.4730122,37.0870821
"249",-81.6943605,41.49932
"250",-89.4965979,45.3090511
"251",-95.712891,37.09024
"252",NA,NA
"253",-95.712891,37.09024
"254",-104.8213634,38.8338816
"255",-75.1652215,39.9525839
"256",-74.4056612,40.0583238
"257",-74.0059413,40.7127837
"258",-86.1066526,39.6136578
"259",-71.8647577,42.1167606
"260",-111.8389726,40.5649781
"261",-111.8910474,40.7607793
"262",-99.9018131,31.9685988
"263",-77.0368707,38.9071923
"264",-122.3320708,47.6062095
"265",-77.6635537,43.149241
"266",-118.2436849,34.0522342
"267",-71.4774291,41.5800945
"268",-99.7095226,31.7765369
"269",-70.8930886,42.5218629
"270",-81.3792365,28.5383355
"271",-121.4943996,38.5815719
"272",NA,NA
"273",-63.5752387,44.6487635
"274",-43.1728965,-22.9068467
"275",-122.4194155,37.7749295
"276",-76.8867008,40.2731911
"277",-79.0192997,35.7595731
"278",-99.9018131,31.9685988
"279",-77.1945247,41.2033216
"280",-70.6672621,41.9584457
"281",-74.4056612,40.0583238
"282",-117.1610838,32.715738
"283",-97.0022908,33.2318281
"284",-115.1745559,36.1023715
"285",-78.7811169,35.79154
"286",-76.8867008,40.2731911
"287",-3.435973,55.378051
"288",-87.6297982,41.8781136
"289",-0.137163,50.82253
"290",NA,NA
"291",-95.992775,36.1539816
"292",-95.712891,37.09024
"293",-76.8867008,40.2731911
"294",-81.5157535,27.6648274
"295",-80.1917902,25.7616798
"296",-89.6464672,35.5642474
"297",NA,NA
"298",-2.970721,56.462018
"299",-90.1994042,38.6270025
"300",NA,NA
"301",-84.3879824,33.7489954
"302",-87.6297982,41.8781136
"303",-74.0059413,40.7127837
"304",-95.712891,37.09024
"305",-95.712891,37.09024
"306",NA,NA
"307",-81.3792365,28.5383355
"308",-81.6943605,41.49932
"309",-95.3698028,29.7604267
"310",-96.8744532,40.8867074
"311",-117.1610838,32.715738
"312",-87.6297982,41.8781136
"313",-99.133208,19.4326077
"314",NA,NA
"315",NA,NA
"316",-73.4081575,41.117744
"317",-118.3531311,33.9616801
"318",-118.2436849,34.0522342
"319",NA,NA
"320",-51.92528,-14.235004
"321",-95.712891,37.09024
"322",-121.1564848,38.1097597
"323",NA,NA
"324",-81.3792365,28.5383355
"325",-104.990251,39.7392358
"326",-122.4194155,37.7749295
"327",-95.712891,37.09024
"328",NA,NA
"329",-95.712891,37.09024
"330",NA,NA
"331",-80.8431267,35.2270869
"332",-95.3698028,29.7604267
"333",-93.1528692,44.8492361
"334",-76.8432663,39.166263
"335",-99.1228286,19.3656534
"336",NA,NA
"337",-74.0059413,40.7127837
"338",-118.4911912,34.0194543
"339",NA,NA
"340",-84.2424449,40.1447732
"341",-106.346771,56.130366
"342",-111.9400054,33.4255104
"343",-80.5772928,40.6186756
"344",-95.3698028,29.7604267
"345",NA,NA
"346",15.472962,49.817492
"347",-118.2436849,34.0522342
"348",-76.6121893,39.2903848
"349",-104.990251,39.7392358
"350",-92.6179621,38.1503113
"351",-111.6585337,40.2338438
"352",-95.712891,37.09024
"353",-96.7969879,32.7766642
"354",-111.9260519,33.4941704
"355",-111.0937311,34.0489281
"356",-75.1652215,39.9525839
"357",-103.3496092,20.6596988
"358",NA,NA
"359",-95.3698028,29.7604267
"360",-2.6103157,53.2326344
"361",-104.5229281,33.3945681
"362",-81.5157535,27.6648274
"363",-95.3698028,29.7604267
"364",-97.7430608,30.267153
"365",-91.9623327,30.9842977
"366",12.56738,41.87194
"367",-117.9186689,33.6411316
"368",-95.712891,37.09024
"369",-97.7430608,30.267153
"370",NA,NA
"371",-86.7484377,37.7230326
"372",-75.2921301,39.9470567
"373",-79.3831843,43.653226
"374",-122.4194155,37.7749295
"375",101.5183469,3.0738379
"376",NA,NA
"377",-95.712891,37.09024
"378",-111.0937311,34.0489281
"379",-88.2433829,40.1164204
"380",-74.0059413,40.7127837
"381",-95.712891,37.09024
"382",-73.9875806,40.7721673
"383",-74.0059413,40.7127837
"384",-74.0776417,40.7281575
"385",-95.3698028,29.7604267
"386",-106.346771,56.130366
"387",NA,NA
"388",-116.5963713,31.8667427
"389",-79.532157,43.8169837
"390",-87.9815946,43.119659
"391",NA,NA
"392",-84.0220785,30.4791229
"393",-79.9958864,40.4406248
"394",NA,NA
"395",37.6173,55.755826
"396",-118.4694832,33.9850469
"397",-117.1610838,32.715738
"398",NA,NA
"399",-80.2781057,25.8575963
"400",-82.4571776,27.950575
"401",-95.3698028,29.7604267
"402",NA,NA
"403",-74.0059413,40.7127837
"404",-117.9145036,33.8352932
"405",-86.2519898,41.6763545
"406",NA,NA
"407",-74.0059413,40.7127837
"408",-113.4909267,53.544389
"409",-87.6184065,41.8873607
"410",-67.9562642,47.1775435
"411",153.1932534,-28.6104322
"412",NA,NA
"413",-82.907123,40.4172871
"414",2.213749,46.227638
"415",-95.3698028,29.7604267
"416",-66.58973,6.42375
"417",-5.06627,50.152571
"418",-95.712891,37.09024
"419",-74.4056612,40.0583238
"420",NA,NA
"421",-99.9018131,31.9685988
"422",19.145136,51.919438
"423",-83.0457538,42.331427
"424",-77.0368707,38.9071923
"425",-85.6023643,44.3148443
"426",-66.0633081,45.2733153
"427",-87.6297982,41.8781136
"428",-86.158068,39.768403
"429",-88.2072697,40.1105875
"430",-75.1652215,39.9525839
"431",-102.552784,23.634501
"432",NA,NA
"433",-118.3870991,34.1395597
"434",-84.3879824,33.7489954
"435",-99.1411525,19.417431
"436",-87.6297982,41.8781136
"437",-94.9329898,30.711029
"438",-86.3977735,39.8433769
"439",-86.3977735,39.8433769
"440",-86.3977735,39.8433769
"441",-83.9207392,35.9606384
"442",-77.1945247,41.2033216
"443",NA,NA
"444",-80.1373174,26.1224386
"445",NA,NA
"446",-41.7007272,-12.579738
"447",-100.3161126,25.6866142
"448",-82.5514869,35.5950581
"449",-118.3286614,34.0928092
"450",-80.1917902,25.7616798
"451",-75.1242944,39.8907544
"452",-80.1917902,25.7616798
"453",-80.1917902,25.7616798
"454",-75.2921301,39.9470567
"455",NA,NA
"456",-111.9260519,33.4941704
"457",-74.0059413,40.7127837
"458",-116.9719684,33.7475203
"459",-94.6858998,46.729553
"460",-75.1652215,39.9525839
"461",-117.1610838,32.715738
"462",-79.8711024,43.2557206
"463",-106.346771,56.130366
"464",-81.3792365,28.5383355
"465",-95.0979839,29.6573847
"466",-100.3161126,25.6866142
"467",NA,NA
"468",19.145136,51.919438
"469",NA,NA
"470",-119.4179324,36.778261
"471",-95.712891,37.09024
"472",-90.1994042,38.6270025
"473",-95.3698028,29.7604267
"474",-84.5499327,33.952602
"475",-90.0715323,29.9510658
"476",-84.4802606,34.2514526
"477",-81.611614,41.5089515
"478",NA,NA
"479",NA,NA
"480",-95.712891,37.09024
"481",-79.3831843,43.653226
"482",-95.3698028,29.7604267
"483",-74.2776468,40.6081591
"484",-93.0899578,44.9537029
"485",NA,NA
"486",-75.1652215,39.9525839
"487",-105.5108312,39.9613759
"488",NA,NA
"489",-74.4056612,40.0583238
"490",-74.0059413,40.7127837
"491",-82.7350514,28.2143574
"492",-104.990251,39.7392358
"493",-95.712891,37.09024
"494",-90.0715323,29.9510658
"495",-74.1502007,40.5795317
"496",-79.532157,43.8169837
"497",-149.9002778,61.2180556
"498",-87.9196785,43.0405846
"499",28.0473051,-26.2041028
"500",-71.3614484,42.3625953
"501",-73.134961,40.789142
"502",-84.3879824,33.7489954
"503",-118.2436849,34.0522342
"504",153.0251235,-27.4697707
"505",NA,NA
"506",-95.712891,37.09024
"507",NA,NA
"508",NA,NA
"509",NA,NA
"510",NA,NA
"511",140.8721,38.2688373
"512",NA,NA
"513",-82.9000751,32.1656221
"514",80.946166,26.8466937
"515",-88.4725983,43.014176
"516",-84.3640829,33.7589188
"517",-79.3831843,43.653226
"518",-79.2482555,42.9921579
"519",-79.532157,43.8169837
"520",-8.24389,53.41291
"521",-79.3831843,43.653226
"522",-119.4179324,36.778261
"523",-75.1652215,39.9525839
