"","lon","lat"
"1",52.3613378,33.2771073
"2",-99.9018131,31.9685988
"3",-82.9987942,39.9611755
"4",-111.9388244,40.4896711
"5",-122.4247355,40.9443161
"6",-87.4606977,37.4143532
"7",-7.6920536,53.1423672
"8",NA,NA
"9",-74.0059413,40.7127837
"10",-119.4179324,36.778261
"11",-99.9018131,31.9685988
"12",-95.712891,37.09024
"13",-118.2436849,34.0522342
"14",-95.712891,37.09024
"15",-90.0715323,29.9510658
"16",-83.7823938,31.9635074
"17",-88.2314813,43.0116784
"18",-122.5207721,46.3466877
"19",-83.0457538,42.331427
"20",-93.7501789,32.5251516
"21",-74.0059413,40.7127837
"22",-76.6121893,39.2903848
"23",-98.7481167,36.7181862
"24",-91.8318334,37.9642529
"25",-74.0059413,40.7127837
"26",-83.4390843,39.5364511
"27",-77.0368707,38.9071923
"28",127.6809317,26.2124013
"29",-82.9000751,32.1656221
"30",-98.2300124,26.2034071
"31",-117.1610838,32.715738
"32",-111.8412502,33.3061605
"33",NA,NA
"34",-75.1652215,39.9525839
"35",-116.6873596,43.6629384
"36",-73.9441579,40.6781784
"37",25.748151,61.92411
"38",-95.4612625,30.1658207
"39",-95.992775,36.1539816
"40",-80.8431267,35.2270869
"41",-73.0506972,41.485921
"42",-92.1176521,35.8684075
"43",-76.284659,39.9900049
"44",-73.7948516,40.7282239
"45",NA,NA
"46",-82.9000751,32.1656221
"47",-82.9000751,32.1656221
"48",-82.9000751,32.1656221
"49",-71.0994968,42.3875968
"50",-93.2259349,44.0855572
"51",-100.4370375,31.4637723
"52",NA,NA
"53",-73.087749,41.6032207
"54",-78.792272,42.9790067
"55",-74.0059413,40.7127837
"56",NA,NA
"57",-78.9219698,40.3267407
"58",-97.1080656,32.735687
"59",-42.7076107,-22.3534263
"60",-118.2436849,34.0522342
"61",-118.2436849,34.0522342
"62",NA,NA
"63",-118.3286614,34.0928092
"64",-98.2300124,26.2034071
"65",-77.39628,25.03428
"66",-95.9979883,41.2523634
"67",NA,NA
"68",-118.2436849,34.0522342
"69",-118.4732464,34.0521011
"70",-74.0059413,40.7127837
"71",-3.7033725,40.4162883
"72",-81.2078699,29.5844524
"73",-82.3940104,34.8526176
"74",-90.8129118,43.9441328
"75",-75.0246312,39.926813
"76",-95.3010624,32.3512601
"77",-86.1349019,40.2671941
"78",-4.2026458,56.4906712
"79",-102.552784,23.634501
"80",-92.4421011,35.0886963
"81",-117.0246986,32.7638842
"82",-98.4936282,29.4241219
"83",-95.992775,36.1539816
"84",-118.2436849,34.0522342
"85",-81.5157535,27.6648274
"86",NA,NA
"87",-95.3698028,29.7604267
"88",-97.7430608,30.267153
"89",-74.297333,4.570868
"90",-84.3640829,33.7589188
"91",-118.2436849,34.0522342
"92",-99.9018131,31.9685988
"93",-91.8318334,37.9642529
"94",-120.6596156,35.2827524
"95",-87.6876969,42.0450722
"96",-81.5157535,27.6648274
"97",-85.6023643,44.3148443
"98",-84.3879824,33.7489954
"99",NA,NA
"100",-77.9447102,34.2257255
"101",-80.244216,36.0998596
"102",NA,NA
"103",-90.0357716,35.099076
"104",-117.9289469,33.6189101
"105",-73.9441579,40.6781784
"106",-113.996586,46.8787176
"107",-98.4936282,29.4241219
"108",-77.4360481,37.5407246
"109",-99.9018131,31.9685988
"110",-84.3879824,33.7489954
"111",-78.6381787,35.7795897
"112",-121.7904417,37.2703101
"113",-118.2436849,34.0522342
"114",-96.8570738,32.5896998
"115",-119.4179324,36.778261
"116",-79.1525349,40.6214551
"117",-90.0489801,35.1495343
"118",-97.1025077,32.4334742
"119",NA,NA
"120",-122.4194155,37.7749295
"121",-74.0298621,40.8762106
"122",-104.8213634,38.8338816
"123",-74.0059413,40.7127837
"124",-96.9488945,32.8140177
"125",-119.4179324,36.778261
"126",-96.9488945,32.8140177
"127",-95.0204837,29.5427297
